year,state,region,state_code,bank_type,sector,priority_classification,credit_crore
2020,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,22.03
2020,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,16.7
2020,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,10.37
2020,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,7.2
2021,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,114.29
2021,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,154.56
2021,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,176.97
2021,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,140.55
2021,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,92.99
2021,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,57.48
2021,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,149.62
2021,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,190.66
2021,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,234.81
2021,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,164.41
2021,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,101.88
2021,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,70.79
2021,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,16.85
2021,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,20.65
2021,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,23.86
2021,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,19.18
2021,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,12.86
2021,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,7.65
2022,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,128.31
2022,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,154.76
2022,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,193.78
2022,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,141.51
2022,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,90.61
2022,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,65.11
2022,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,158.96
2022,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,194.48
2022,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,236.03
2022,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,186.17
2022,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,118.55
2022,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,76.68
2022,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,17.47
2022,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,23.65
2022,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,26.98
2022,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,19.49
2022,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,12.69
2022,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,9.09
2023,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,136.21
2023,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,182.54
2023,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,231.09
2023,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,157.65
2023,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,103.57
2023,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,76.31
2023,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,185.68
2023,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,224.59
2023,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,265.43
2023,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,200.9
2023,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,133.32
2023,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,89.07
2023,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,20.1
2023,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,27.42
2023,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,32.55
2023,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,25.19
2023,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,15.46
2023,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,10.19
2024,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,153.97
2024,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,219.83
2024,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,247.84
2024,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,189.35
2024,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,120.88
2024,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,75.09
2024,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,224.62
2024,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,291.39
2024,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,319.6
2024,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,241.55
2024,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,154.71
2024,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,105.3
2024,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,21.2
2024,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,29.69
2024,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,34.11
2024,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,24.61
2024,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,17.48
2024,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,11.66
2017,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,39.9
2017,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,57.04
2017,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,64.68
2017,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,46.35
2017,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,31.72
2017,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,19.32
2017,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,47.74
2017,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,69.47
2017,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,73.81
2017,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,53.91
2017,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,37.93
2017,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,25.54
2017,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,5.23
2017,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,7.18
2017,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,8.57
2017,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,6.02
2017,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,4.1
2017,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,2.71
2018,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,43.96
2018,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,58.89
2018,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,72.7
2018,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,49.93
2018,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,33.34
2018,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,23.49
2018,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,56.68
2018,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,66.03
2018,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,80.19
2018,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,58.19
2018,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,42.22
2018,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,27.95
2018,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,6.84
2018,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,8.83
2018,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,10.4
2018,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,7.86
2018,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,5.02
2018,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,3.07
2019,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,53.79
2019,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,63.6
2019,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,75.66
2019,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,54.51
2019,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,38.5
2019,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,24.71
2019,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,65.1
2019,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,81.37
2019,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,99.95
2019,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,75.99
2019,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,50.23
2019,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,30.33
2019,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,7.25
2019,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,9.36
2019,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,10.63
2019,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,8.15
2019,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,5.3
2019,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,3.47
2020,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,54.79
2020,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,68.68
2020,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,85.03
2020,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,59.47
2020,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,37.37
2020,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,24.8
2020,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,74.08
2020,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,97.6
2020,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,106.64
2020,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,77.39
2020,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,50.49
2020,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,36.7
2020,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,7.9
2020,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,11.44
2020,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,13.55
2020,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,9.92
2020,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,6.47
2020,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,4.34
2021,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,65.0
2021,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,83.87
2021,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,100.98
2021,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,72.48
2021,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,44.95
2021,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,31.97
2021,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,74.84
2021,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,105.93
2021,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,120.96
2021,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,85.64
2021,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,60.66
2021,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,37.49
2021,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,8.82
2021,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,11.71
2021,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,12.82
2021,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,9.71
2021,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,6.26
2021,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,4.48
2022,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,77.78
2022,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,92.1
2022,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,121.78
2022,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,80.58
2022,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,52.44
2022,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,36.4
2022,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,88.16
2022,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,113.66
2022,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,139.33
2022,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,96.61
2022,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,68.11
2022,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,41.24
2022,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,10.84
2022,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,14.08
2022,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,16.19
2022,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,11.25
2022,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,8.09
2022,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,5.15
2023,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,77.8
2023,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,102.05
2023,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,123.74
2023,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,89.5
2023,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,58.62
2023,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,38.07
2023,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,105.75
2023,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,133.65
2023,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,153.55
2023,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,114.8
2023,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,70.89
2023,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,48.96
2023,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,11.25
2023,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,14.7
2023,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,17.06
2023,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,12.78
2023,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,8.96
2023,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,5.88
2024,Tamil Nadu,South,IN-TN,Public Sector Banks,Agriculture,Priority,84.7
2024,Tamil Nadu,South,IN-TN,Public Sector Banks,Manufacturing,Non-priority,106.74
2024,Tamil Nadu,South,IN-TN,Public Sector Banks,Services,Non-priority,136.04
2024,Tamil Nadu,South,IN-TN,Public Sector Banks,Retail Loans,Non-priority,97.74
2024,Tamil Nadu,South,IN-TN,Public Sector Banks,MSME,Priority,64.25
2024,Tamil Nadu,South,IN-TN,Public Sector Banks,Housing,Priority,40.24
2024,Tamil Nadu,South,IN-TN,Private Sector Banks,Agriculture,Priority,102.57
2024,Tamil Nadu,South,IN-TN,Private Sector Banks,Manufacturing,Non-priority,140.87
2024,Tamil Nadu,South,IN-TN,Private Sector Banks,Services,Non-priority,152.53
2024,Tamil Nadu,South,IN-TN,Private Sector Banks,Retail Loans,Non-priority,115.68
2024,Tamil Nadu,South,IN-TN,Private Sector Banks,MSME,Priority,78.96
2024,Tamil Nadu,South,IN-TN,Private Sector Banks,Housing,Priority,49.52
2024,Tamil Nadu,South,IN-TN,Regional Rural Banks,Agriculture,Priority,13.13
2024,Tamil Nadu,South,IN-TN,Regional Rural Banks,Manufacturing,Non-priority,15.77
2024,Tamil Nadu,South,IN-TN,Regional Rural Banks,Services,Non-priority,20.84
2024,Tamil Nadu,South,IN-TN,Regional Rural Banks,Retail Loans,Non-priority,15.14
2024,Tamil Nadu,South,IN-TN,Regional Rural Banks,MSME,Priority,9.22
2024,Tamil Nadu,South,IN-TN,Regional Rural Banks,Housing,Priority,6.38
2017,Karnataka,South,IN-KA,Public Sector Banks,Agriculture,Priority,34.68
2017,Karnataka,South,IN-KA,Public Sector Banks,Manufacturing,Non-priority,46.76
2017,Karnataka,South,IN-KA,Public Sector Banks,Services,Non-priority,60.12
2017,Karnataka,South,IN-KA,Public Sector Banks,Retail Loans,Non-priority,41.19
2017,Karnataka,South,IN-KA,Public Sector Banks,MSME,Priority,28.69
2017,Karnataka,South,IN-KA,Public Sector Banks,Housing,Priority,18.81
2017,Karnataka,South,IN-KA,Private Sector Banks,Agriculture,Priority,49.98
2017,Karnataka,South,IN-KA,Private Sector Banks,Manufacturing,Non-priority,63.35
2017,Karnataka,South,IN-KA,Private Sector Banks,Services,Non-priority,76.44
2017,Karnataka,South,IN-KA,Private Sector Banks,Retail Loans,Non-priority,53.55
2017,Karnataka,South,IN-KA,Private Sector Banks,MSME,Priority,37.2
2017,Karnataka,South,IN-KA,Private Sector Banks,Housing,Priority,23.93
2017,Karnataka,South,IN-KA,Regional Rural Banks,Agriculture,Priority,5.34
2017,Karnataka,South,IN-KA,Regional Rural Banks,Manufacturing,Non-priority,7.0
2017,Karnataka,South,IN-KA,Regional Rural Banks,Services,Non-priority,8.77
2017,Karnataka,South,IN-KA,Regional Rural Banks,Retail Loans,Non-priority,6.42
2017,Karnataka,South,IN-KA,Regional Rural Banks,MSME,Priority,4.15
2017,Karnataka,South,IN-KA,Regional Rural Banks,Housing,Priority,2.8
2018,Karnataka,South,IN-KA,Public Sector Banks,Agriculture,Priority,37.59
2018,Karnataka,South,IN-KA,Public Sector Banks,Manufacturing,Non-priority,49.64
2018,Karnataka,South,IN-KA,Public Sector Banks,Services,Non-priority,60.88
2018,Karnataka,South,IN-KA,Public Sector Banks,Retail Loans,Non-priority,41.6
2018,Karnataka,South,IN-KA,Public Sector Banks,MSME,Priority,28.07
2018,Karnataka,South,IN-KA,Public Sector Banks,Housing,Priority,19.86
2018,Karnataka,South,IN-KA,Private Sector Banks,Agriculture,Priority,50.07
2018,Karnataka,South,IN-KA,Private Sector Banks,Manufacturing,Non-priority,64.63
2018,Karnataka,South,IN-KA,Private Sector Banks,Services,Non-priority,74.9
2018,Karnataka,South,IN-KA,Private Sector Banks,Retail Loans,Non-priority,55.53
2018,Karnataka,South,IN-KA,Private Sector Banks,MSME,Priority,39.34
2018,Karnataka,South,IN-KA,Private Sector Banks,Housing,Priority,25.18
2018,Karnataka,South,IN-KA,Regional Rural Banks,Agriculture,Priority,6.03
2018,Karnataka,South,IN-KA,Regional Rural Banks,Manufacturing,Non-priority,7.52
2018,Karnataka,South,IN-KA,Regional Rural Banks,Services,Non-priority,9.39
2018,Karnataka,South,IN-KA,Regional Rural Banks,Retail Loans,Non-priority,7.13
2018,Karnataka,South,IN-KA,Regional Rural Banks,MSME,Priority,4.81
2018,Karnataka,South,IN-KA,Regional Rural Banks,Housing,Priority,3.24
2019,Karnataka,South,IN-KA,Public Sector Banks,Agriculture,Priority,47.1
2019,Karnataka,South,IN-KA,Public Sector Banks,Manufacturing,Non-priority,58.76
2019,Karnataka,South,IN-KA,Public Sector Banks,Services,Non-priority,70.07
2019,Karnataka,South,IN-KA,Public Sector Banks,Retail Loans,Non-priority,52.01
2019,Karnataka,South,IN-KA,Public Sector Banks,MSME,Priority,32.79
2019,Karnataka,South,IN-KA,Public Sector Banks,Housing,Priority,22.76
